"","sex","age","degree","income","income_vs_average","satisfaction","happy"
"1","Male",20,"Hight school",12,"Average","Not satisfied","Pretty happy"
"2","Male",76,"Hight school",12,"Average","Not satisfied","Not too happy"
"3","Female",61,"Bachelors",8,"Average","More of less satisfied","Pretty happy"
"4","Male",37,"Less than high school",12,"Average","Not satisfied","Pretty happy"
"5","Male",23,"Hight school",12,"Average","More of less satisfied","Pretty happy"
"6","Female",20,"Hight school",12,"Average","More of less satisfied","Pretty happy"
"7","Female",65,"Hight school",11,"Average","More of less satisfied","Not too happy"
"8","Female",22,"associate/junior college",12,"Below average","More of less satisfied","Pretty happy"
"9","Female",33,"Graduate",12,"Above average","More of less satisfied","Pretty happy"
"10","Male",31,"Bachelors",12,"Far above average","Pretty satisfied","Pretty happy"
"11","Female",33,"Bachelors",8,"Far below average","Not satisfied","Not too happy"
"12","Male",37,"associate/junior college",12,"Average","More of less satisfied","Pretty happy"
"13","Male",53,"Hight school",12,"Below average","Not satisfied","Not too happy"
"14","Female",43,"Graduate",12,"Average","Pretty satisfied","Pretty happy"
"15","Male",65,"Hight school",12,"Average","More of less satisfied","Pretty happy"
"16","Female",30,"Graduate",12,"Average","More of less satisfied","Not too happy"
"17","Female",52,"Bachelors",12,"Average","Pretty satisfied","Pretty happy"
"18","Male",34,"Graduate",12,"Above average","Pretty satisfied","Pretty happy"
"19","Male",53,"Bachelors",12,"Above average","More of less satisfied","Pretty happy"
"20","Female",62,"Hight school",12,"Average","More of less satisfied","Pretty happy"
"21","Female",62,"Less than high school",11,"Below average","Not satisfied","Not too happy"
"22","Male",42,"Hight school",12,"Above average","More of less satisfied","Pretty happy"
"23","Male",29,"Bachelors",12,"Above average","Pretty satisfied","Pretty happy"
"24","Female",51,"Bachelors",12,"Above average","Pretty satisfied","Very happy"
"25","Female",24,"Bachelors",9,"Average","Not satisfied","Not too happy"
"26","Female",28,"Hight school",10,"Below average","Not satisfied","Not too happy"
"27","Male",30,"Hight school",12,"Below average","More of less satisfied","Not too happy"
"28","Male",57,"Graduate",12,"Below average","Not satisfied","Pretty happy"
"29","Female",43,"Bachelors",11,"Below average","More of less satisfied","Pretty happy"
"30","Female",31,"Hight school",12,"Average","More of less satisfied","Pretty happy"
"31","Female",64,"Hight school",12,"Average","More of less satisfied","Not too happy"
"32","Female",82,"Bachelors",12,"Average","More of less satisfied","Pretty happy"
"33","Male",58,"Less than high school",11,"Below average","More of less satisfied","Pretty happy"
"34","Male",89,"Hight school",12,"Average","Pretty satisfied","Not too happy"
"35","Male",51,"associate/junior college",12,"Average","Not satisfied","Pretty happy"
"36","Male",78,"Bachelors",12,"Above average","Pretty satisfied","Not too happy"
"37","Female",42,"Bachelors",12,"Below average","More of less satisfied","Not too happy"
"38","Male",64,"associate/junior college",12,"Below average","More of less satisfied","Pretty happy"
"39","Female",51,"associate/junior college",12,"Below average","Not satisfied","Pretty happy"
"40","Male",50,"Bachelors",12,"Average","More of less satisfied","Not too happy"
"41","Female",55,"Hight school",12,"Average","More of less satisfied","Very happy"
"42","Male",57,"Hight school",12,"Below average","Pretty satisfied","Very happy"
"43","Male",62,"Hight school",12,"Average","More of less satisfied","Not too happy"
"44","Female",62,"Hight school",12,"Average","Pretty satisfied","Very happy"
"45","Male",33,"Hight school",12,"Average","More of less satisfied","Pretty happy"
"46","Female",72,"Hight school",12,"Average","Pretty satisfied","Pretty happy"
"47","Female",64,"Graduate",12,"Average","More of less satisfied","Pretty happy"
"48","Male",42,"Bachelors",12,"Far below average","More of less satisfied","Pretty happy"
"49","Female",73,"Bachelors",12,"Above average","Pretty satisfied","Not too happy"
"50","Female",63,"Less than high school",11,"Average","More of less satisfied","Not too happy"
"51","Female",32,"Bachelors",12,"Average","Not satisfied","Not too happy"
"52","Male",65,"Bachelors",9,"Average","More of less satisfied","Not too happy"
"53","Female",33,"Hight school",9,"Average","Not satisfied","Pretty happy"
"54","Male",28,"Hight school",12,"Below average","More of less satisfied","Very happy"
"55","Female",55,"associate/junior college",12,"Average","More of less satisfied","Pretty happy"
"56","Male",66,"associate/junior college",11,"Below average","More of less satisfied","Not too happy"
"57","Male",74,"Graduate",12,"Above average","Pretty satisfied","Pretty happy"
"58","Female",66,"Bachelors",12,"Below average","More of less satisfied","Pretty happy"
"59","Male",70,"Hight school",12,"Above average","Pretty satisfied","Very happy"
"60","Female",57,"associate/junior college",12,"Average","More of less satisfied","Pretty happy"
"61","Male",60,"Less than high school",9,"Average","More of less satisfied","Very happy"
"62","Male",41,"Bachelors",12,"Average","Pretty satisfied","Very happy"
"63","Female",46,"associate/junior college",12,"Average","Pretty satisfied","Very happy"
"64","Female",22,"Hight school",12,"Above average","Pretty satisfied","Pretty happy"
"65","Male",38,"Bachelors",12,"Average","More of less satisfied","Pretty happy"
"66","Female",64,"Bachelors",12,"Below average","Not satisfied","Not too happy"
"67","Male",68,"Graduate",12,"Above average","More of less satisfied","Pretty happy"
"68","Male",28,"Graduate",12,"Above average","Pretty satisfied","Not too happy"
"69","Male",33,"Graduate",12,"Below average","Pretty satisfied","Not too happy"
"70","Female",32,"Graduate",12,"Average","Not satisfied","Pretty happy"
"71","Female",54,"Hight school",12,"Far above average","More of less satisfied","Very happy"
"72","Female",71,"Bachelors",12,"Average","More of less satisfied","Pretty happy"
"73","Female",89,"Bachelors",12,"Above average","More of less satisfied","Pretty happy"
"74","Female",63,"Hight school",11,"Below average","More of less satisfied","Very happy"
"75","Male",73,"Bachelors",12,"Above average","Pretty satisfied","Pretty happy"
"76","Female",59,"Hight school",12,"Average","Not satisfied","Not too happy"
"77","Female",56,"Hight school",12,"Average","Pretty satisfied","Pretty happy"
"78","Male",25,"Bachelors",12,"Far above average","Pretty satisfied","Pretty happy"
"79","Female",25,"Bachelors",12,"Average","More of less satisfied","Pretty happy"
"80","Male",58,"Hight school",12,"Average","More of less satisfied","Pretty happy"
"81","Female",84,"Bachelors",12,"Above average","Pretty satisfied","Pretty happy"
"82","Female",68,"Hight school",9,"Below average","More of less satisfied","Pretty happy"
"83","Female",63,"Less than high school",12,"Below average","Not satisfied","Not too happy"
"84","Female",36,"Bachelors",12,"Average","Not satisfied","Not too happy"
"85","Male",67,"associate/junior college",12,"Above average","Pretty satisfied","Very happy"
"86","Female",60,"Graduate",12,"Above average","Pretty satisfied","Pretty happy"
"87","Male",87,"Hight school",12,"Far below average","More of less satisfied","Not too happy"
"88","Female",74,"Graduate",12,"Above average","Pretty satisfied","Very happy"
"89","Female",66,"Hight school",2,"Below average","Not satisfied","Pretty happy"
"90","Female",46,"Bachelors",12,"Average","More of less satisfied","Pretty happy"
"91","Male",43,"Graduate",12,"Above average","Pretty satisfied","Not too happy"
"92","Male",49,"Hight school",9,"Below average","Not satisfied","Not too happy"
"93","Male",74,"associate/junior college",12,"Average","Pretty satisfied","Not too happy"
"94","Female",54,"Bachelors",10,"Below average","Not satisfied","Pretty happy"
"95","Male",53,"Graduate",12,"Far below average","More of less satisfied","Not too happy"
"96","Male",62,"Hight school",12,"Average","More of less satisfied","Pretty happy"
"97","Female",65,"Graduate",12,"Below average","Not satisfied","Pretty happy"
"98","Female",41,"Graduate",9,"Far below average","Not satisfied","Pretty happy"
"99","Male",46,"associate/junior college",6,"Above average","More of less satisfied","Pretty happy"
"100","Female",64,"Bachelors",12,"Above average","Not satisfied","Pretty happy"
"101","Female",79,"Graduate",12,"Above average","More of less satisfied","Pretty happy"
"102","Female",33,"Bachelors",9,"Average","Not satisfied","Very happy"
"103","Male",74,"Hight school",12,"Above average","Pretty satisfied","Pretty happy"
"104","Female",75,"Bachelors",12,"Above average","Pretty satisfied","Very happy"
"105","Male",74,"Bachelors",12,"Average","Pretty satisfied","Very happy"
"106","Male",65,"Hight school",12,"Average","More of less satisfied","Pretty happy"
"107","Female",41,"Bachelors",12,"Average","More of less satisfied","Pretty happy"
"108","Male",57,"Bachelors",12,"Above average","More of less satisfied","Not too happy"
"109","Female",36,"Hight school",12,"Below average","Not satisfied","Pretty happy"
"110","Female",43,"Hight school",12,"Average","More of less satisfied","Pretty happy"
"111","Female",44,"Hight school",12,"Average","Not satisfied","Pretty happy"
"112","Female",67,"Less than high school",9,"Below average","Not satisfied","Not too happy"
"113","Male",45,"Hight school",12,"Average","More of less satisfied","Not too happy"
"114","Female",32,"Bachelors",12,"Average","More of less satisfied","Pretty happy"
"115","Male",69,"Hight school",12,"Above average","Pretty satisfied","Pretty happy"
"116","Male",28,"Hight school",1,"Below average","Not satisfied","Not too happy"
"117","Female",41,"Hight school",10,"Average","More of less satisfied","Pretty happy"
"118","Female",45,"Hight school",6,"Far below average","Not satisfied","Not too happy"
"119","Female",64,"Hight school",11,"Below average","More of less satisfied","Not too happy"
"120","Male",41,"Hight school",12,"Average","More of less satisfied","Pretty happy"
"121","Male",52,"Hight school",12,"Average","More of less satisfied","Not too happy"
"122","Female",58,"Hight school",12,"Above average","More of less satisfied","Pretty happy"
"123","Female",85,"Hight school",12,"Far below average","More of less satisfied","Very happy"
"124","Female",53,"Hight school",12,"Below average","Not satisfied","Not too happy"
"125","Female",59,"Hight school",12,"Average","Not satisfied","Not too happy"
"126","Male",39,"Hight school",12,"Below average","Not satisfied","Not too happy"
"127","Female",50,"Hight school",12,"Below average","Not satisfied","Pretty happy"
"128","Female",37,"Bachelors",12,"Above average","More of less satisfied","Pretty happy"
"129","Male",35,"Less than high school",10,"Far below average","Not satisfied","Very happy"
"130","Female",42,"associate/junior college",12,"Average","Not satisfied","Not too happy"
"131","Female",57,"Hight school",8,"Far below average","Not satisfied","Not too happy"
"132","Female",28,"Hight school",8,"Far below average","Not satisfied","Not too happy"
"133","Female",37,"Hight school",4,"Average","Not satisfied","Very happy"
"134","Female",72,"Graduate",12,"Above average","More of less satisfied","Pretty happy"
"135","Female",34,"Hight school",3,"Average","Not satisfied","Not too happy"
"136","Male",33,"Hight school",12,"Average","More of less satisfied","Pretty happy"
"137","Female",44,"Hight school",12,"Average","More of less satisfied","Pretty happy"
"138","Female",46,"Graduate",12,"Average","More of less satisfied","Pretty happy"
"139","Male",37,"Bachelors",12,"Above average","More of less satisfied","Not too happy"
"140","Female",49,"Hight school",1,"Average","Pretty satisfied","Very happy"
"141","Male",67,"Hight school",12,"Below average","Pretty satisfied","Pretty happy"
"142","Female",42,"Hight school",2,"Far below average","Not satisfied","Pretty happy"
"143","Female",36,"Bachelors",12,"Average","More of less satisfied","Not too happy"
"144","Female",29,"Bachelors",12,"Average","More of less satisfied","Pretty happy"
"145","Female",60,"associate/junior college",12,"Above average","Pretty satisfied","Very happy"
"146","Male",35,"Graduate",12,"Above average","More of less satisfied","Pretty happy"
"147","Female",43,"associate/junior college",12,"Average","Not satisfied","Pretty happy"
"148","Female",64,"Hight school",12,"Above average","Pretty satisfied","Pretty happy"
"149","Male",39,"Hight school",9,"Below average","Not satisfied","Not too happy"
"150","Male",68,"Hight school",11,"Below average","Not satisfied","Not too happy"
